virus_key;Virus;Temperature;log10D;HR;Fomites;label
TGEVb2;TGEV;4;2,622868248;50;surface;2,45
TGEVb3;TGEV;4;2,361030749;80;surface;2,45
TGEVb1;TGEV;20;2,490539484;20;surface;2,55
MERSb1;MERS;20;1,23319369;40;surface;1,2
TGEVb2;TGEV;20;1,573283802;50;surface;1,6
TGEVb3;TGEV;20;2,02924014;80;surface;1,85
HCoVc;HCoV;21;1,854931014;35;surface;1,75
SARSf;SARS-CoV;22;2,437553127;17;surface;2,4
SARSCoV2b;SARS-CoV-2;22;1,350664298;40;surface;1,35
SARSCoV2;SARS-CoV-2;22;1,657660376;65;surface;1,55
SARSc1;SARS-CoV;28;1,444984617;95;surface;1,4
MERSb1;MERS;30;1,040960655;30;surface;1
MERSb1;MERS;30;1,016057678;80;surface;1
SARSc2;SARS-CoV;33;1,434673528;85;surface;1,4
SARSc2;SARS-CoV;38;1,066039799;85;surface;1,1
TGEVb1;TGEV;40;1,448587971;20;surface;1,4
TGEVb2;TGEV;40;0,329935383;50;surface;0,55
TGEVb3;TGEV;40;0,537034981;80;surface;0,35
